title,author,length
The House of Love and Death,Andrew Klavan,Length: 10 hrs and 25 mins
The Proof of the Pudding,Rhys Bowen,Length: Not Yet Known
Twins,Laurence Dahners,Length: 7 hrs and 55 mins
Mark of the Fool 4,J.M. Clarke,Length: 19 hrs and 45 mins
Great Awakening,"Alex Jones,Kent Heckenlively - contributor",Length: 12 hrs and 48 mins
Emperor of Rome,Mary Beard,Length: 14 hrs and 43 mins
Crystal World,B.V. Larson,Length: 14 hrs and 26 mins
Escaping Villainy,K. Jin,Length: 11 hrs and 22 mins
With This Woman,Jodi Ellen Malpas,Length: 23 hrs and 53 mins
Exploring Home,A. American,Length: 11 hrs and 59 mins
The Woman in Me,Britney Spears,Length: 5 hrs
Somewhere Beyond the Sea,TJ Klune,Length: 12 hrs
Burden of Time,Mark Tufo,Length: 11 hrs and 43 mins
The Wuhan Cover-Up,Robert F. Kennedy Jr.,Length: 15 hrs and 50 mins
The Titan of Baleros,pirateaba,Length: 41 hrs and 16 mins
A Touch of Chaos,Scarlett St. Clair,Length: 12 hrs
Hidden Potential,Adam Grant,Length: 7 hrs and 21 mins
Think Twice,Harlan Coben,Length: 10 hrs
Dungeon Diving 103,Bruce Sentar,Length: 12 hrs and 57 mins
Genefather,Guy Haley,Length: 10 hrs and 14 mins
