title,author,length
The House of Love and Death,Andrew Klavan,Length: 10 hrs and 25 mins
The Proof of the Pudding,Rhys Bowen,Length: Not Yet Known
Twins,Laurence Dahners,Length: 7 hrs and 55 mins
Mark of the Fool 4,J.M. Clarke,Length: 19 hrs and 45 mins
Great Awakening,"Alex Jones,Kent Heckenlively - contributor",Length: 12 hrs and 48 mins
Emperor of Rome,Mary Beard,Length: 14 hrs and 43 mins
Crystal World,B.V. Larson,Length: 14 hrs and 26 mins
Escaping Villainy,K. Jin,Length: 11 hrs and 22 mins
With This Woman,Jodi Ellen Malpas,Length: 23 hrs and 53 mins
Exploring Home,A. American,Length: 11 hrs and 59 mins
The Woman in Me,Britney Spears,Length: 5 hrs
Somewhere Beyond the Sea,TJ Klune,Length: 12 hrs
Burden of Time,Mark Tufo,Length: 11 hrs and 43 mins
The Wuhan Cover-Up,Robert F. Kennedy Jr.,Length: 15 hrs and 50 mins
The Titan of Baleros,pirateaba,Length: 41 hrs and 16 mins
A Touch of Chaos,Scarlett St. Clair,Length: 12 hrs
Hidden Potential,Adam Grant,Length: 7 hrs and 21 mins
Think Twice,Harlan Coben,Length: 10 hrs
Dungeon Diving 103,Bruce Sentar,Length: 12 hrs and 57 mins
Genefather,Guy Haley,Length: 10 hrs and 14 mins
Only in Death,Dan Abnett,Length: 11 hrs and 28 mins
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 8 hrs
Outbound Flight,Timothy Zahn,Length: 14 hrs
House of Flame and Shadow,Sarah J. Maas,Length: Not Yet Known
Fire and Song,Bryce O'Connor,Length: 34 hrs and 46 mins
The Great Disappearance,Dr. David Jeremiah,Length: 6 hrs and 25 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
How to Know a Person,David Brooks,Length: 7 hrs and 27 mins
Survivor's Quest,Timothy Zahn,Length: 14 hrs
Camino Ghosts,John Grisham,Length: 9 hrs
My Name Is Barbra,Barbra Streisand,Length: 47 hrs
